parenthetical  	updated
(2PL)	2pl
(2SG)	2sg
(ago)	ago
(all)	all
(a lot)	a lot
(and are still here)	ventive
(and come back)	ventive
(and he left)	itive
(and is still here)	ventive
(and is still there)	ventive
(and left)	itive
(and she left)	itive
(and the lion left)	itive
(and then they left)	itive
(and they are gone now)	itive
(and they left)	itive
(and were taken somewhere else)	itive
(away )	itive
(away)	itive
(away??)	itive
(away from)	itive
(away from speaker)	itive
(away/here)	itive
(away, or they left)	itive
(away; speak was there, up in the tree)	itive
(boy left)	itive
(but left)	itive
(excl)	excl
(excl.)	excl
(fall towards to speaker)	ventive
(far)	ventive
(far away)	ventive
(far away, addressee and speaker are in same place)	ventive
(far away, or they came towards)	ventive
(far away or towards)	ventive
(far, or coming towards)	ventive
(far; or speaker is in tree and he fell down)	ventive
(far or towards)	ventive
(far/towards)	ventive
(fat away)	ventive
(food from home, far)	ventive
(food home, far)	ventive
(from far)	ventive
(from far away)	ventive
(from here)	ventive
(happened here or he left)	itive
(here/away)	itive
(here or away)	itive
(here, or he left)	itive
(here, or left)	itive
(here; speaker will be present)	itive
(here/towars)	itive
(IMP, far away)	ventive
(incl)	incl
(incl.)	incl
(inclusive)	incl
(itive)	itive
(or ‘far away’ – home is far away from you)	ventive
(pl)	pl
(PL)	pl
(PLUR)	pl
(plural)	pl
(sg)	sg
(sg.)	sg
(SG)	sg
(she is far away)	ventive
(she is far away?)	ventive
(she is nearby)	itive
(singular)	sg
(something, and left)	itive
(speaker is far away or not present)	ventive
(speaker is far away while the action is happening, or speaker is up in the tree)	ventive
(speaker left)	itive
(then they left)	itive
(toward)	ventive
(towards)	ventive
(towards?)	ventive
(towards??)	ventive
(towards, 2PL)	ventive
(towards/far)	ventive
(towards/far away)	ventive
(towards speaker)	ventive
(towards the speaker)	ventive
(ventive)	ventive
(VPFV)	ventive pfv
